time,actual,forecasted
00:00,254,274
00:15,350,375
00:30,264,289
00:45,291,311
01:00,194,214
01:15,349,370
01:30,185,206
01:45,271,291
02:00,193,216
02:15,215,237
02:30,190,212
02:45,287,309
03:00,331,354
03:15,306,329
03:30,231,253
03:45,192,212
04:00,203,228
04:15,294,314
04:30,202,222
04:45,227,250
05:00,253,275
05:15,193,215
05:30,211,236
05:45,179,202
06:00,163,188
06:15,258,279
06:30,329,353
06:45,308,329
07:00,297,320
07:15,210,233
07:30,170,192
07:45,282,305
08:00,300,325
08:15,300,324
08:30,261,283
08:45,150,175
09:00,230,251
09:15,229,254
09:30,247,268
09:45,309,329
10:00,249,273
10:15,215,239
10:30,203,223
10:45,222,246
11:00,311,331
11:15,195,220
11:30,229,250
11:45,302,323
12:00,310,333
12:15,163,187
12:30,323,346
12:45,196,221
13:00,165,190
13:15,174,194
13:30,167,188
13:45,310,335
14:00,321,341
14:15,330,351
14:30,338,358
14:45,211,234
15:00,342,366
15:15,296,318
15:30,170,192
15:45,248,270
16:00,305,325
16:15,173,196
16:30,312,337
16:45,208,231
17:00,219,241
17:15,272,296
17:30,319,339
17:45,256,276
18:00,239,260
18:15,348,372
18:30,206,228
18:45,302,322
19:00,165,189
19:15,338,362
19:30,203,228
19:45,340,360
20:00,165,189
20:15,227,251
20:30,177,202
20:45,328,349
21:00,349,369
21:15,272,296
21:30,316,340
21:45,179,204
22:00,320,345
22:15,200,221
22:30,227,250
22:45,316,337
23:00,238,260
23:15,185,208
23:30,323,344
23:45,232,252
