time,actual,forecasted
00:00,203,223
00:15,230,254
00:30,269,293
00:45,218,241
01:00,276,297
01:15,210,233
01:30,280,302
01:45,343,363
02:00,192,213
02:15,283,306
02:30,232,255
02:45,343,365
03:00,337,362
03:15,192,215
03:30,282,306
03:45,302,326
04:00,163,187
04:15,244,267
04:30,163,188
04:45,250,274
05:00,203,223
05:15,287,307
05:30,152,176
05:45,240,261
06:00,166,186
06:15,206,226
06:30,285,310
06:45,222,245
07:00,280,300
07:15,256,280
07:30,307,332
07:45,318,342
08:00,312,334
08:15,182,205
08:30,177,199
08:45,267,288
09:00,235,260
09:15,214,236
09:30,294,314
09:45,239,260
10:00,158,180
10:15,329,353
10:30,182,207
10:45,226,247
11:00,172,193
11:15,292,312
11:30,153,175
11:45,314,335
12:00,304,329
12:15,202,224
12:30,214,239
12:45,336,359
13:00,198,219
13:15,183,203
13:30,229,254
13:45,163,184
14:00,293,314
14:15,226,249
14:30,328,348
14:45,254,275
15:00,274,298
15:15,331,352
15:30,191,211
15:45,221,243
16:00,327,348
16:15,327,347
16:30,184,206
16:45,316,337
17:00,327,348
17:15,330,354
17:30,159,180
17:45,306,328
18:00,182,207
18:15,340,360
18:30,254,277
18:45,293,316
19:00,208,228
19:15,268,291
19:30,300,324
19:45,160,184
20:00,213,238
20:15,282,306
20:30,334,356
20:45,294,316
21:00,188,210
21:15,187,212
21:30,163,187
21:45,218,240
22:00,318,340
22:15,214,239
22:30,233,253
22:45,320,342
23:00,208,229
23:15,262,286
23:30,252,273
23:45,219,244
