time,actual,forecasted
00:00,194,214
00:15,202,223
00:30,347,369
00:45,274,298
01:00,191,215
01:15,349,369
01:30,212,236
01:45,150,172
02:00,326,349
02:15,307,330
02:30,344,364
02:45,279,300
03:00,283,307
03:15,201,226
03:30,207,231
03:45,258,283
04:00,349,370
04:15,258,279
04:30,325,347
04:45,291,312
05:00,335,356
05:15,264,286
05:30,179,199
05:45,230,253
06:00,186,207
06:15,312,332
06:30,230,252
06:45,349,370
07:00,177,202
07:15,303,328
07:30,218,241
07:45,200,225
08:00,287,310
08:15,290,314
08:30,335,359
08:45,156,180
09:00,261,285
09:15,211,234
09:30,208,233
09:45,171,195
10:00,284,304
10:15,220,244
10:30,173,195
10:45,259,281
11:00,161,181
11:15,181,202
11:30,259,281
11:45,207,228
12:00,243,268
12:15,315,340
12:30,265,287
12:45,349,371
13:00,322,346
13:15,244,268
13:30,292,313
13:45,284,309
14:00,342,362
14:15,202,223
14:30,264,287
14:45,187,209
15:00,250,273
15:15,277,298
15:30,151,172
15:45,161,181
16:00,166,188
16:15,307,332
16:30,271,291
16:45,261,285
17:00,326,350
17:15,292,313
17:30,258,281
17:45,245,266
18:00,210,231
18:15,275,296
18:30,184,207
18:45,167,191
19:00,239,260
19:15,170,192
19:30,339,359
19:45,310,333
20:00,247,270
20:15,312,335
20:30,198,223
20:45,312,334
21:00,333,353
21:15,273,295
21:30,271,292
21:45,296,320
22:00,252,277
22:15,238,258
22:30,331,353
22:45,322,345
23:00,179,199
23:15,212,234
23:30,303,327
23:45,317,337
