time,actual,forecasted
00:00,286,311
00:15,215,237
00:30,168,189
00:45,298,321
01:00,170,192
01:15,228,249
01:30,330,355
01:45,240,264
02:00,172,193
02:15,269,292
02:30,291,312
02:45,258,282
03:00,283,308
03:15,270,295
03:30,300,325
03:45,163,185
04:00,189,209
04:15,328,349
04:30,173,197
04:45,254,277
05:00,187,210
05:15,217,237
05:30,168,189
05:45,342,364
06:00,240,265
06:15,305,327
06:30,257,277
06:45,308,332
07:00,301,325
07:15,152,176
07:30,224,245
07:45,255,278
08:00,345,369
08:15,191,212
08:30,335,357
08:45,261,286
09:00,333,357
09:15,347,371
09:30,210,235
09:45,226,246
10:00,175,196
10:15,153,176
10:30,168,192
10:45,209,231
11:00,301,324
11:15,297,319
11:30,342,366
11:45,287,310
12:00,202,224
12:15,155,176
12:30,333,354
12:45,319,342
13:00,254,276
13:15,311,335
13:30,280,305
13:45,191,216
14:00,188,211
14:15,280,304
14:30,164,184
14:45,261,281
15:00,294,317
15:15,201,222
15:30,171,192
15:45,296,316
16:00,182,202
16:15,299,320
16:30,249,270
16:45,241,264
17:00,188,210
17:15,293,316
17:30,262,284
17:45,295,315
18:00,237,257
18:15,159,179
18:30,179,201
18:45,204,227
19:00,309,330
19:15,256,278
19:30,349,371
19:45,217,239
20:00,322,342
20:15,296,316
20:30,176,199
20:45,345,365
21:00,269,290
21:15,301,322
21:30,152,177
21:45,180,203
22:00,150,173
22:15,164,184
22:30,299,322
22:45,311,335
23:00,293,313
23:15,322,343
23:30,279,302
23:45,223,246
