time,actual,forecasted
00:00,273,293
00:15,293,316
00:30,281,305
00:45,343,368
01:00,236,259
01:15,338,358
01:30,227,250
01:45,215,238
02:00,277,297
02:15,253,273
02:30,239,261
02:45,272,293
03:00,348,371
03:15,266,286
03:30,314,337
03:45,321,341
04:00,200,221
04:15,317,342
04:30,191,214
04:45,235,257
05:00,277,302
05:15,335,356
05:30,350,374
05:45,306,326
06:00,253,277
06:15,255,275
06:30,335,356
06:45,267,287
07:00,229,249
07:15,181,202
07:30,344,365
07:45,292,313
08:00,295,320
08:15,170,192
08:30,338,359
08:45,201,223
09:00,245,266
09:15,239,260
09:30,162,185
09:45,343,367
10:00,219,242
10:15,284,304
10:30,281,304
10:45,233,258
11:00,331,352
11:15,198,218
11:30,230,251
11:45,177,200
12:00,269,291
12:15,236,259
12:30,153,178
12:45,245,267
13:00,208,228
13:15,209,233
13:30,167,189
13:45,239,262
14:00,229,252
14:15,302,322
14:30,316,340
14:45,289,309
15:00,343,365
15:15,268,292
15:30,347,371
15:45,177,200
16:00,305,325
16:15,311,334
16:30,255,277
16:45,194,215
17:00,265,287
17:15,240,265
17:30,210,233
17:45,161,183
18:00,302,325
18:15,213,237
18:30,158,180
18:45,290,313
19:00,198,221
19:15,168,193
19:30,166,186
19:45,211,233
20:00,233,255
20:15,304,329
20:30,159,181
20:45,267,290
21:00,245,268
21:15,189,209
21:30,276,301
21:45,334,357
22:00,328,353
22:15,244,267
22:30,208,230
22:45,239,263
23:00,172,193
23:15,349,369
23:30,293,315
23:45,239,261
